pH,Temperature,Taste,Odor,Fat_Content,Titratable_Acidity,Protein_Content,Lactose_Content,TPC,SCC,Color,Label
6.73,8.5,1,1,3.19,0.186,3.01,4.42,1941100,287200,1,Medium
6.36,12.2,0,0,2.88,0.303,2.33,3.96,4397000,1022300,0,Low
6.81,7.8,1,1,3.23,0.179,2.86,4.34,1941900,392100,1,Medium
6.72,2.3,1,1,4.55,0.146,3.06,4.97,199400,195900,1,High
6.6,3.0,1,1,4.8,0.163,3.35,4.6,169900,41200,1,High
6.7,6.6,1,0,3.19,0.168,2.89,4.31,1793200,391300,1,Medium
6.63,2.1,1,1,3.51,0.121,3.32,5.19,41100,232800,1,High
6.61,3.8,1,1,3.86,0.145,3.35,5.12,225600,192700,1,High
6.73,4.1,1,1,3.37,0.125,3.25,4.69,200500,69500,1,High
6.63,9.9,0,1,3.39,0.19,2.97,4.59,1764400,339800,1,Medium
7.17,24.9,0,0,2.33,0.288,2.94,3.67,5905100,719500,0,Low
7.04,17.2,0,0,2.24,0.28,2.85,3.54,3092700,957900,0,Low
6.7,3.7,1,1,4.39,0.144,3.18,4.68,18000,22100,1,High
6.83,7.4,1,0,3.27,0.162,2.87,4.37,1353400,306600,1,Medium
6.79,3.8,1,1,3.98,0.139,3.18,4.57,126000,61000,1,High
6.65,8.8,0,1,3.23,0.168,3.01,4.59,908100,352100,1,Medium
6.87,12.0,0,1,2.28,0.185,2.42,3.66,3808000,391400,0,Low
6.8,7.0,0,1,3.12,0.178,3.14,4.58,579200,386700,1,Medium
6.69,9.4,1,1,3.27,0.169,2.93,4.43,687600,269100,0,Medium
6.64,7.4,0,1,3.07,0.168,3.13,4.51,405800,252500,1,Medium
6.79,4.8,1,1,3.83,0.154,3.25,5.03,248900,236800,1,High
6.61,4.2,1,1,3.31,0.134,3.49,4.77,248000,206500,1,High
6.64,7.6,1,1,3.12,0.162,2.95,4.42,1052100,258400,1,Medium
6.68,2.2,1,1,4.38,0.138,3.06,4.59,137700,211300,1,High
6.83,7.2,1,1,3.29,0.163,3.09,4.37,382800,298500,1,Medium
6.7,9.0,1,1,3.31,0.188,2.92,4.32,637800,425600,1,Medium
6.6,2.8,1,1,4.46,0.153,3.07,4.7,178400,22100,1,High
6.26,13.2,0,1,2.06,0.247,2.44,4.11,5449600,559900,0,Low
6.27,19.0,0,0,3.18,0.233,2.73,4.03,4003000,906500,1,Low
7.06,16.7,0,0,2.97,0.324,2.54,3.53,7356400,883900,1,Low
6.63,4.5,1,1,3.65,0.133,3.16,4.89,182500,158700,1,High
6.42,19.2,0,0,2.5,0.223,2.76,3.55,2179600,894300,1,Low
6.83,7.6,0,1,3.09,0.186,3.08,4.35,1081000,394900,1,Medium
6.67,7.5,1,1,3.25,0.183,3.15,4.58,766000,347800,0,Medium
6.23,11.9,0,0,3.02,0.309,2.45,3.67,5411200,464400,1,Low
6.74,3.1,1,1,4.25,0.159,3.44,4.61,293500,128100,1,High
6.8,8.2,1,0,3.29,0.169,2.98,4.42,1818600,296600,1,Medium
6.92,18.1,0,0,2.34,0.247,2.71,4.32,6561400,742200,1,Low
6.73,4.9,1,1,4.31,0.168,3.18,4.68,90200,213700,1,High
6.74,7.2,1,1,3.11,0.165,2.93,4.65,595300,309200,1,Medium
6.79,5.7,1,1,4.32,0.131,3.4,5.06,176300,33800,1,High
6.61,3.8,1,1,3.95,0.134,3.36,4.88,87100,93300,1,High
6.93,22.5,0,0,2.69,0.285,2.49,3.6,2586700,940900,0,Low
7.14,24.4,1,1,3.0,0.338,2.52,4.13,6244100,875700,0,Low
7.04,13.3,0,0,2.85,0.262,2.74,4.38,2020400,669100,0,Low
6.23,22.4,0,0,2.08,0.274,2.45,3.92,6528600,580900,0,Low
6.69,8.9,1,0,3.16,0.171,2.97,4.58,1454900,403300,1,Medium
6.66,6.7,1,0,3.39,0.171,2.87,4.46,1266600,450000,1,Medium
6.73,5.7,1,1,3.97,0.161,3.44,5.19,230000,184800,1,High
6.58,6.7,1,1,3.12,0.167,2.96,4.34,414700,277200,0,Medium
6.8,6.1,1,1,3.12,0.165,3.08,4.58,430600,355300,1,Medium
6.95,12.6,1,1,2.22,0.277,2.3,3.67,3416500,817700,0,Low
6.75,8.4,1,1,3.24,0.182,2.99,4.42,1242800,401700,1,Medium
6.37,18.2,0,0,2.06,0.218,2.56,3.82,2463900,807200,0,Low
7.04,24.5,0,0,3.06,0.299,2.88,3.88,3877900,1117600,1,Low
6.63,2.2,1,1,3.91,0.138,3.21,4.74,284200,61500,1,High
6.64,3.4,1,1,3.69,0.152,3.31,4.65,215000,86500,1,High
6.57,7.4,0,1,3.21,0.164,2.93,4.49,368300,260500,1,Medium
6.61,8.2,0,1,3.08,0.176,3.04,4.58,1175600,420200,1,Medium
6.3,15.5,0,0,2.48,0.309,2.51,4.27,7372300,408400,0,Low
6.7,7.0,0,1,3.24,0.183,3.12,4.54,1902000,302600,1,Medium
6.91,22.3,0,0,2.35,0.291,2.76,4.06,2950900,799700,0,Low
6.76,4.4,1,1,3.69,0.142,3.21,4.98,112300,152500,1,High
6.64,2.4,1,1,3.99,0.158,3.39,4.89,271900,166100,1,High
6.69,6.8,0,1,3.26,0.167,2.92,4.56,1563800,288500,1,Medium
6.74,7.5,1,1,3.37,0.174,3.02,4.47,1815000,334800,0,Medium
7.03,10.4,1,0,2.56,0.258,2.94,4.03,6572900,404100,0,Low
6.62,4.7,1,1,4.23,0.125,3.44,4.66,166200,160100,1,High
6.52,20.8,1,1,2.47,0.195,2.31,4.36,6755000,993400,0,Low
6.69,2.3,1,1,4.4,0.144,3.47,4.76,107100,207300,1,High
6.44,17.1,1,1,2.92,0.273,2.38,3.53,2616600,368900,0,Low
6.6,6.6,1,1,3.21,0.169,2.92,4.51,1774300,359600,0,Medium
6.63,5.5,1,1,4.41,0.154,3.35,4.82,115500,138400,1,High
6.79,9.8,1,1,3.27,0.162,2.95,4.47,1376600,412900,1,Medium
6.26,11.3,0,0,2.98,0.33,2.69,4.32,7007000,1181000,0,Low
6.35,22.2,1,0,2.78,0.252,2.44,4.08,3010700,699000,0,Low
6.69,5.7,1,1,3.76,0.153,3.26,5.1,204700,26000,1,High
6.79,5.6,1,1,3.4,0.123,3.18,4.79,97700,164400,1,High
7.03,13.5,1,1,2.54,0.271,2.54,4.28,4027200,838300,0,Low
6.74,5.6,1,1,4.53,0.167,3.24,4.74,261400,29800,1,High
6.78,6.9,1,1,3.06,0.18,3.13,4.56,1309500,442300,1,Medium
6.87,16.0,0,0,2.28,0.246,2.46,4.16,4123000,990600,0,Low
6.69,9.8,1,1,3.28,0.184,3.04,4.3,1981200,314700,1,Medium
6.75,3.1,1,1,4.04,0.168,3.09,5.03,85700,176400,1,High
6.8,7.3,1,0,3.1,0.177,2.99,4.63,910200,318800,1,Medium
6.59,7.0,1,0,3.17,0.165,2.9,4.55,1854500,360200,1,Medium
6.69,4.3,1,1,4.19,0.13,3.08,4.71,40700,230700,1,High
7.01,15.8,0,0,2.86,0.215,2.34,4.37,2591300,786100,0,Low
6.54,24.8,0,1,2.08,0.254,2.7,4.06,6653700,740400,0,Low
6.34,15.7,1,0,2.35,0.297,2.53,4.36,3645900,747900,1,Low
6.45,15.8,0,0,2.81,0.33,2.58,3.66,3677200,573700,1,Low
6.99,19.6,0,0,2.11,0.194,2.63,4.15,4046600,868200,1,Low
6.61,9.6,1,0,3.13,0.185,3.11,4.41,940500,341000,1,Medium
7.01,14.6,0,0,3.03,0.258,2.48,3.83,4830000,941500,1,Low
6.67,8.6,1,1,3.07,0.16,2.99,4.64,1990600,405500,0,Medium
6.82,7.1,1,1,3.37,0.168,3.12,4.54,1698900,374100,0,Medium
6.73,6.6,0,1,3.39,0.177,2.86,4.58,883700,449400,1,Medium
6.46,17.9,0,1,2.26,0.277,2.32,4.22,4135700,760100,1,Low
6.26,16.4,0,1,2.71,0.182,2.73,3.69,7019500,854100,1,Low
6.67,7.3,1,1,3.23,0.174,2.91,4.45,1702700,381800,0,Medium
7.14,18.9,1,0,2.6,0.213,2.41,4.24,5485000,383000,1,Low
6.29,23.5,0,1,2.05,0.2,2.78,4.2,4496200,476900,1,Low
6.56,8.5,1,1,3.13,0.161,2.89,4.49,627500,279100,0,Medium
6.61,8.4,1,0,3.21,0.16,2.89,4.31,1348300,311900,1,Medium
6.73,6.7,0,1,3.33,0.165,2.88,4.39,1752000,401900,1,Medium
6.7,5.4,1,1,4.66,0.151,3.49,4.83,291100,233100,1,High
7.06,18.1,0,0,2.04,0.232,2.56,3.52,6184400,899500,0,Low
6.41,16.0,0,0,2.16,0.299,2.77,4.34,3367200,866600,0,Low
6.73,8.8,1,1,3.08,0.177,3.0,4.33,1798700,358900,1,Medium
6.72,4.3,1,1,3.58,0.127,3.36,4.74,278000,77300,1,High
6.73,6.7,1,1,3.08,0.171,2.92,4.32,1751600,399600,1,Medium
6.63,6.5,1,1,3.33,0.19,3.09,4.55,667800,302300,1,Medium
6.84,7.2,1,1,3.31,0.185,3.06,4.45,1636900,380500,1,Medium
6.73,3.4,1,1,3.71,0.157,3.24,4.96,267300,54500,1,High
6.26,11.4,1,0,2.26,0.333,2.64,3.61,4778800,386400,0,Low
6.74,5.1,1,1,4.43,0.147,3.07,5.19,74300,62500,1,High
6.68,3.5,1,1,3.9,0.146,3.4,5.02,224800,190700,1,High
7.03,15.7,0,1,3.17,0.303,2.71,3.6,7910600,548200,0,Low
6.46,24.0,1,0,2.52,0.252,2.53,3.95,6141700,1002600,1,Low
6.38,11.0,0,1,2.15,0.208,2.45,3.75,3123600,626400,0,Low
6.45,20.4,1,0,2.46,0.259,2.65,3.95,5541100,929000,0,Low
6.72,8.4,1,0,3.16,0.18,2.93,4.5,1694100,355400,1,Medium
6.76,5.1,1,1,3.3,0.141,3.33,4.99,135400,243200,1,High
6.68,3.9,1,1,4.5,0.147,3.16,4.57,271000,199200,1,High
6.76,4.7,1,1,3.85,0.14,3.29,4.87,86000,195200,1,High
6.78,9.3,1,0,3.36,0.177,3.04,4.61,945200,354100,1,Medium
6.79,8.5,0,1,3.23,0.161,2.94,4.32,669200,349200,1,Medium
6.66,4.8,1,1,3.99,0.134,3.39,5.15,90200,32900,1,High
7.15,13.6,1,0,2.52,0.275,2.9,4.3,2002400,1120600,0,Low
7.16,23.7,0,0,3.02,0.311,2.93,3.9,3459400,690600,0,Low
6.78,5.9,1,1,4.03,0.151,3.08,4.62,168500,56400,1,High
6.77,6.2,1,1,3.29,0.184,3.02,4.4,836800,317500,1,Medium
6.4,14.8,0,0,2.7,0.296,2.35,4.2,6253300,709500,0,Low
6.74,8.2,1,1,3.16,0.178,2.89,4.45,681000,299300,1,Medium
6.68,8.4,1,1,3.31,0.174,2.97,4.58,1422800,384200,0,Medium
6.71,7.1,1,1,3.25,0.19,2.97,4.3,915600,439500,0,Medium
6.76,7.5,1,1,3.39,0.166,3.07,4.44,1464000,390300,1,Medium
7.04,11.2,0,1,2.46,0.217,2.4,4.33,3100400,1178500,1,Low
6.82,7.9,1,0,3.21,0.171,2.92,4.4,1253600,275300,1,Medium
7.11,20.4,0,0,2.77,0.183,2.7,3.96,7292000,691100,0,Low
6.79,9.5,1,1,3.17,0.185,3.08,4.38,1095000,425700,0,Medium
6.63,9.9,1,1,3.26,0.182,3.13,4.52,1848600,350100,0,Medium
6.55,9.1,1,1,3.08,0.182,2.95,4.48,1360200,449700,1,Medium
7.05,23.8,0,0,3.09,0.295,2.41,3.94,5429000,701200,1,Low
6.76,8.4,1,1,3.24,0.17,3.14,4.44,1777800,300500,0,Medium
6.78,2.2,1,1,4.39,0.141,3.2,4.93,106300,57400,1,High
6.98,19.8,1,0,2.57,0.234,2.73,4.27,2040700,1020800,1,Low
6.65,4.4,1,1,4.3,0.157,3.32,4.94,230400,28200,1,High
6.84,6.9,1,1,3.25,0.183,2.86,4.54,559900,409500,1,Medium
6.36,22.5,0,0,2.37,0.188,2.88,3.89,5426300,1114500,0,Low
6.4,13.6,1,0,2.26,0.343,2.8,3.59,6760500,386500,0,Low
6.61,2.5,1,1,3.81,0.169,3.23,5.19,166200,89300,1,High
7.2,24.7,0,1,2.66,0.281,2.94,4.19,2809600,592100,1,Low
6.6,6.4,0,1,3.35,0.162,2.98,4.49,528300,414300,1,Medium
6.62,9.3,1,1,3.38,0.168,3.15,4.57,1551300,276200,0,Medium
7.1,14.7,0,0,2.32,0.272,2.9,4.34,3269100,833200,1,Low
6.8,8.7,1,1,3.36,0.171,2.93,4.53,1924600,395500,1,Medium
6.68,7.7,1,0,3.12,0.187,3.06,4.35,1515900,322200,1,Medium
6.77,4.8,1,1,4.48,0.15,3.47,4.66,222600,31400,1,High
6.99,23.7,0,0,2.63,0.246,2.63,4.24,7530600,349400,0,Low
6.74,9.7,1,1,3.14,0.188,3.05,4.39,1588000,263600,1,Medium
6.65,7.7,0,1,3.16,0.184,3.0,4.52,412300,307600,1,Medium
6.95,20.6,0,0,2.3,0.298,2.76,3.87,5353800,377600,0,Low
6.2,14.4,0,1,2.49,0.332,2.77,4.11,2623400,1114800,0,Low
6.68,4.9,1,1,3.51,0.131,3.41,5.06,26100,55400,1,High
6.98,21.9,1,0,2.04,0.257,2.75,3.95,5742200,872500,1,Low
6.75,3.9,1,1,3.99,0.139,3.29,4.72,125000,141500,1,High
6.79,9.1,0,1,3.27,0.169,3.11,4.33,870000,336900,1,Medium
6.69,4.5,1,1,3.95,0.147,3.23,5.19,101600,35900,1,High
7.18,11.6,1,1,2.62,0.282,2.78,4.26,6464400,472900,0,Low
6.71,7.9,0,1,3.23,0.174,2.95,4.6,395100,414200,1,Medium
6.99,12.5,0,1,3.18,0.297,2.79,4.07,2815100,700700,1,Low
6.66,7.0,1,1,3.38,0.185,2.94,4.42,1332600,379100,1,Medium
6.79,5.5,1,1,4.57,0.149,3.19,5.18,144800,30900,1,High
6.95,24.0,0,1,2.21,0.322,2.89,4.08,6427000,920400,0,Low
6.98,19.3,0,0,2.14,0.209,2.79,4.23,3322900,834100,0,Low
6.68,5.2,1,1,4.55,0.128,3.17,4.96,62000,125600,1,High
6.64,7.1,1,0,3.09,0.187,2.98,4.38,916500,406700,1,Medium
6.59,7.5,1,1,3.15,0.16,2.9,4.53,1014200,343700,1,Medium
6.76,9.8,1,1,3.34,0.187,3.13,4.53,418900,378000,1,Medium
7.02,17.5,1,0,2.99,0.23,2.65,3.89,6699700,1034600,0,Low
6.8,7.4,0,1,3.32,0.187,3.07,4.43,924400,343700,1,Medium
6.46,18.1,0,0,2.22,0.344,2.57,4.18,3184800,941700,0,Low
6.64,8.0,1,1,3.34,0.164,2.95,4.46,1295600,415200,1,Medium
6.33,12.1,0,0,2.9,0.304,2.83,3.61,2794500,963300,0,Low
6.91,12.5,1,0,2.41,0.259,2.83,4.33,6010600,386200,0,Low
7.09,22.5,0,1,2.99,0.337,2.82,4.39,6222500,775200,0,Low
6.78,7.6,1,1,3.23,0.182,3.0,4.61,1283300,347400,0,Medium
6.48,15.1,0,1,2.29,0.243,2.65,3.99,7091500,669000,0,Low
7.09,22.1,0,0,2.79,0.298,2.38,4.17,7903100,982000,0,Low
6.51,18.4,1,0,2.61,0.265,2.53,3.72,3937100,567800,0,Low
6.72,6.3,1,1,3.27,0.181,2.86,4.5,1848000,419900,1,Medium
6.86,19.8,0,0,2.01,0.239,2.94,4.34,2467600,318900,0,Low
6.64,5.4,1,1,4.11,0.138,3.49,4.67,180000,112100,1,High
7.17,12.0,0,0,2.35,0.344,2.73,4.35,5112500,989200,0,Low
6.65,4.6,1,1,4.35,0.144,3.17,5.17,112400,35900,1,High
6.82,6.4,0,1,3.23,0.184,3.02,4.53,1680000,354800,1,Medium
6.66,8.9,0,1,3.23,0.162,2.99,4.63,971800,281200,1,Medium
6.72,8.4,0,1,3.34,0.184,3.0,4.3,616800,323000,1,Medium
6.61,7.7,1,1,3.1,0.175,3.08,4.4,1963500,422100,1,Medium
6.66,2.4,1,1,3.41,0.131,3.33,4.83,106900,130100,1,High
6.31,16.9,0,1,3.0,0.294,2.52,4.23,2203600,671700,0,Low
7.04,21.2,0,0,2.87,0.212,2.36,4.29,7840500,671600,1,Low
6.68,5.1,1,1,4.09,0.161,3.41,4.72,215500,184600,1,High
6.78,9.6,1,0,3.36,0.182,2.94,4.55,1826500,277100,1,Medium
6.63,4.5,1,1,4.5,0.149,3.33,4.88,25000,50000,1,High
6.71,5.6,1,1,4.45,0.138,3.06,4.96,286200,178700,1,High
6.55,6.8,1,1,3.35,0.186,2.98,4.46,1372200,441700,0,Medium
6.22,18.1,1,1,2.37,0.265,2.78,3.53,4537500,639700,0,Low
6.95,20.8,0,0,2.83,0.301,2.44,4.09,4128800,473800,0,Low
6.79,5.5,1,1,3.43,0.157,3.23,4.55,92600,195300,1,High
6.79,2.1,1,1,3.58,0.147,3.34,4.95,142500,45100,1,High
6.6,8.1,0,1,3.06,0.177,2.99,4.52,569600,404900,1,Medium
6.6,9.3,1,1,3.12,0.186,3.04,4.42,1267400,435300,0,Medium
6.8,3.3,1,1,4.76,0.146,3.42,4.73,170400,208500,1,High
6.48,23.0,0,1,2.66,0.276,2.39,3.78,2092600,328600,0,Low
6.29,18.3,1,0,2.62,0.204,2.66,4.23,5347200,669000,1,Low
6.41,20.4,0,1,3.02,0.226,2.34,3.68,6157800,995000,1,Low
6.64,2.6,1,1,3.54,0.137,3.3,5.05,161100,178600,1,High
6.7,7.2,1,1,3.12,0.175,3.0,4.48,1782600,397900,1,Medium
7.06,17.2,0,0,2.81,0.253,2.45,3.78,7066600,1112800,0,Low
6.39,10.2,1,0,3.02,0.279,2.86,3.76,3201500,1056700,0,Low
6.61,4.6,1,1,4.42,0.166,3.25,4.92,146400,101400,1,High
6.83,6.8,0,1,3.3,0.163,2.91,4.57,1695300,271100,1,Medium
6.75,7.0,1,1,3.17,0.164,3.08,4.39,316100,312300,0,Medium
7.07,22.4,0,1,3.14,0.306,2.46,3.54,2075800,950600,0,Low
6.78,9.6,1,1,3.15,0.182,2.99,4.34,718400,337900,0,Medium
6.4,20.5,0,0,2.39,0.263,2.39,3.51,6621000,664100,0,Low
6.75,2.5,1,1,4.06,0.167,3.16,4.8,165400,61300,1,High
6.62,2.8,1,1,4.41,0.141,3.17,5.0,167800,39100,1,High
6.69,5.9,1,1,3.76,0.148,3.38,4.65,205200,118900,1,High
6.38,23.9,1,1,3.06,0.281,2.8,4.11,6050400,1157900,0,Low
7.19,21.4,0,1,2.21,0.203,2.51,3.5,5064800,1128500,0,Low
6.61,8.1,0,1,3.28,0.184,3.03,4.39,1149800,378500,1,Medium
7.11,22.3,1,0,2.41,0.188,2.53,3.77,5885900,988500,1,Low
6.7,2.4,1,1,3.67,0.122,3.36,5.08,26800,104700,1,High
6.64,3.8,1,1,4.17,0.15,3.08,4.69,75500,108500,1,High
6.66,2.6,1,1,4.46,0.163,3.23,4.91,290500,163800,1,High
6.6,3.1,1,1,3.34,0.148,3.39,4.98,105400,125900,1,High
6.74,3.5,1,1,3.95,0.146,3.34,4.76,270100,57600,1,High
6.74,4.3,1,1,4.4,0.155,3.06,4.64,186600,75300,1,High
6.41,18.2,0,0,2.71,0.244,2.82,3.8,6848900,783900,1,Low
7.03,22.3,1,1,2.7,0.29,2.54,4.11,7879200,806200,0,Low
6.68,4.8,1,1,4.19,0.151,3.44,4.82,176100,111600,1,High
6.7,2.6,1,1,4.59,0.138,3.32,4.79,269600,183300,1,High
6.48,13.2,0,0,2.83,0.293,2.34,3.55,2921500,752100,0,Low
6.63,5.5,1,1,3.81,0.132,3.38,5.16,151200,231100,1,High
6.65,9.9,1,1,3.25,0.187,2.96,4.6,1130700,297100,0,Medium
6.7,2.3,1,1,3.88,0.165,3.06,4.95,298900,215100,1,High
6.75,5.1,1,1,4.56,0.158,3.09,5.16,24600,190400,1,High
6.44,24.1,0,1,2.37,0.244,2.53,3.52,5151800,466900,0,Low
6.75,4.8,1,1,4.03,0.154,3.32,4.96,146200,230100,1,High
6.64,6.4,1,1,3.39,0.18,2.87,4.57,1097800,312100,0,Medium
6.73,3.2,1,1,4.63,0.14,3.25,5.19,219400,204400,1,High
6.75,3.9,1,1,4.2,0.137,3.18,4.99,220600,172900,1,High
6.93,22.5,0,0,2.42,0.233,2.63,3.57,6317100,1093000,0,Low
6.66,9.6,1,1,3.13,0.178,2.87,4.46,981300,286900,1,Medium
6.44,23.4,0,0,2.07,0.318,2.44,3.62,4924800,313600,0,Low
6.75,3.6,1,1,4.66,0.165,3.4,4.69,99300,27100,1,High
6.77,5.1,1,1,4.24,0.127,3.25,4.74,223600,69300,1,High
6.66,5.5,1,1,3.91,0.136,3.06,4.95,195600,229100,1,High
6.7,6.7,1,1,3.16,0.164,2.92,4.47,1282500,401200,1,Medium
6.73,5.6,1,1,3.8,0.122,3.32,4.83,284300,213000,1,High
6.66,5.7,1,1,3.92,0.121,3.38,4.96,231700,194400,1,High
6.58,9.3,1,1,3.23,0.162,2.97,4.53,1475300,329400,1,Medium
6.87,23.6,0,0,3.16,0.317,2.56,4.09,2052700,510400,0,Low
6.67,3.2,1,1,3.62,0.134,3.09,4.88,104000,167000,1,High
6.21,20.5,0,0,2.51,0.287,2.89,4.2,4541200,791800,0,Low
6.68,3.8,1,1,3.78,0.132,3.17,4.97,156000,228200,1,High
6.82,9.1,1,0,3.07,0.163,3.09,4.4,390800,268300,1,Medium
6.61,3.8,1,1,4.36,0.121,3.47,4.96,129300,171900,1,High
7.05,21.9,0,1,2.43,0.225,2.41,4.0,6342800,534800,1,Low
7.12,16.8,0,0,2.23,0.322,2.42,3.55,5315800,1144300,1,Low
6.78,2.6,1,1,3.81,0.131,3.5,4.78,150600,242400,1,High
6.79,5.8,1,1,4.49,0.162,3.49,4.8,75600,173800,1,High
6.65,9.9,1,1,3.07,0.162,3.03,4.52,1081800,305200,1,Medium
6.33,19.7,0,1,2.05,0.312,2.85,4.02,4078400,438500,1,Low
6.87,16.4,0,1,2.23,0.275,2.82,3.6,2408500,758300,1,Low
6.73,5.3,1,1,3.82,0.132,3.42,4.67,132200,209700,1,High
6.71,4.8,1,1,3.98,0.137,3.23,4.83,13800,245500,1,High
6.72,5.9,1,1,4.34,0.129,3.16,5.02,289400,119300,1,High
6.77,2.8,1,1,4.14,0.151,3.42,5.03,120500,55200,1,High
6.6,7.8,0,1,3.3,0.185,2.97,4.53,342000,448000,1,Medium
6.69,5.6,1,1,4.1,0.136,3.07,4.83,241400,126400,1,High
6.66,3.4,1,1,4.22,0.156,3.18,4.85,182400,169200,1,High
6.61,3.2,1,1,3.52,0.133,3.48,5.05,59400,87400,1,High
6.61,4.4,1,1,4.58,0.167,3.39,5.06,249700,99800,1,High
6.7,5.9,1,1,4.63,0.13,3.12,4.68,76700,55200,1,High
7.16,22.6,0,0,2.02,0.288,2.7,3.76,7896800,1037600,0,Low
6.58,7.6,1,1,3.26,0.185,3.11,4.41,1945000,398800,0,Medium
6.57,7.5,1,1,3.17,0.165,2.92,4.35,592700,387300,1,Medium
6.31,20.1,1,0,2.92,0.304,2.69,4.27,5668700,370100,1,Low
6.71,8.0,1,1,3.2,0.178,3.0,4.37,1872000,381300,1,Medium
6.43,24.9,0,1,2.88,0.184,2.39,3.91,3781900,518100,1,Low
6.6,2.6,1,1,4.01,0.147,3.47,4.92,232500,247900,1,High
6.72,4.7,1,1,4.71,0.153,3.38,5.18,242900,117600,1,High
6.98,19.4,1,0,2.25,0.229,2.88,4.07,2393900,1081300,1,Low
6.58,7.6,1,1,3.34,0.175,2.98,4.62,865600,260100,1,Medium
6.86,13.5,0,1,2.74,0.287,2.85,3.8,7688500,642100,0,Low
7.08,11.0,1,0,2.54,0.344,2.89,3.75,7154500,1046900,1,Low
6.57,7.9,1,1,3.32,0.18,3.02,4.47,1031800,326700,1,Medium
6.65,9.7,1,1,3.36,0.186,3.01,4.38,1057300,398700,1,Medium
6.74,4.2,1,1,3.41,0.151,3.16,5.01,73900,104100,1,High
6.78,6.1,0,1,3.34,0.167,2.95,4.44,1537500,436300,1,Medium
6.66,4.0,1,1,4.74,0.137,3.44,4.9,282900,83000,1,High
6.63,4.5,1,1,3.64,0.168,3.19,4.73,261100,166200,1,High
7.0,18.4,1,0,2.38,0.203,2.7,3.91,7184700,776800,0,Low
6.7,8.5,1,0,3.07,0.166,3.1,4.45,448300,418200,1,Medium
6.69,4.0,1,1,3.55,0.165,3.07,5.05,205400,198700,1,High
7.06,11.8,0,1,3.08,0.23,2.38,4.34,5456400,1070700,0,Low
6.77,4.1,1,1,3.87,0.169,3.37,4.78,37400,150900,1,High
6.78,8.0,0,1,3.4,0.164,3.0,4.33,788900,305000,1,Medium
6.58,9.5,1,1,3.25,0.173,2.93,4.57,1277300,313300,1,Medium
7.14,10.3,0,1,2.37,0.305,2.45,4.16,3039900,557100,0,Low
6.41,16.1,0,0,2.35,0.184,2.8,3.97,6044800,634900,0,Low
6.8,9.2,1,1,3.06,0.171,2.93,4.64,1382000,343600,1,Medium
7.19,12.6,1,0,2.09,0.227,2.38,4.3,6725600,747900,0,Low
6.34,18.7,1,0,2.4,0.298,2.33,4.1,4242900,1029200,0,Low
6.77,4.0,1,1,3.33,0.165,3.46,4.82,169500,118000,1,High
6.67,4.5,1,1,4.29,0.168,3.37,5.11,288000,218000,1,High
6.8,5.8,1,1,3.94,0.146,3.4,4.85,166900,154800,1,High
6.7,4.2,1,1,3.62,0.123,3.23,4.85,37700,87600,1,High
6.64,6.2,1,1,3.35,0.183,3.1,4.49,389800,319200,1,Medium
6.26,14.4,0,1,2.59,0.295,2.6,3.55,2717400,522100,0,Low
6.72,8.3,1,0,3.11,0.166,3.08,4.45,1084100,381600,1,Medium
7.05,10.9,0,0,2.59,0.186,2.37,4.34,7323700,789300,1,Low
6.72,2.2,1,1,3.87,0.141,3.23,4.84,267900,239500,1,High
6.28,23.3,0,0,2.89,0.291,2.32,4.14,7588400,883000,0,Low
6.84,7.4,1,1,3.3,0.18,3.08,4.31,1663700,294300,0,Medium
6.76,2.5,1,1,3.74,0.166,3.35,5.03,12200,147300,1,High
6.34,19.4,1,1,2.9,0.34,2.63,3.94,7249600,415600,0,Low
7.03,20.2,0,1,2.06,0.28,2.34,3.83,5636300,747100,0,Low
6.78,5.1,1,1,3.94,0.169,3.39,4.76,138300,173300,1,High
6.36,13.6,0,0,2.88,0.21,2.33,3.54,5961400,897800,1,Low
7.16,10.5,0,0,2.91,0.337,2.68,4.1,4652200,721000,0,Low
6.34,18.9,1,0,2.61,0.284,2.61,4.37,2976700,413800,0,Low
6.63,4.6,1,1,4.67,0.169,3.13,4.62,26100,83100,1,High
6.73,5.6,1,1,4.09,0.154,3.14,5.1,234000,174600,1,High
6.78,2.8,1,1,3.49,0.156,3.07,4.93,266900,158900,1,High
6.38,10.4,1,0,2.44,0.335,2.94,4.4,3438900,776300,0,Low
6.48,12.5,1,1,2.41,0.253,2.75,3.76,2610100,477000,0,Low
7.0,24.0,1,0,2.94,0.326,2.75,4.36,7228000,565200,0,Low
6.4,15.3,1,0,2.48,0.223,2.42,4.13,2291800,1102300,1,Low
6.2,24.3,0,0,2.39,0.328,2.79,3.74,5051800,699700,0,Low
6.61,4.8,1,1,3.9,0.12,3.07,4.88,203200,55100,1,High
6.8,9.5,1,1,3.16,0.172,3.05,4.31,795300,393300,1,Medium
6.61,5.1,1,1,4.58,0.123,3.07,4.66,168700,174500,1,High
6.6,8.5,0,1,3.2,0.19,3.12,4.51,1474200,336900,1,Medium
6.82,7.1,1,1,3.29,0.165,3.13,4.33,909400,353800,0,Medium
6.65,2.1,1,1,3.99,0.155,3.14,4.82,202300,175300,1,High
6.74,7.7,1,1,3.39,0.175,3.13,4.59,1015200,366500,0,Medium
